Rk.   Player Name               Team       Scoring Rtg     GP    MPG   PPG   FG%/3P%/FT%          TSA/G
202   De'Anthony Melton         PHI        26.56446364     12    24.4  8.8   43.3/33.3/71.4       8.3  
203   Drew Eubanks              POR        26.45894468     13    17.5  5.5   69.0/0.0/68.4        3.9  
204   Dennis Smith Jr.          CHA        26.44485915     13    29.4  10.2  46.4/35.7/54.5       10.0 
205   Mitchell Robinson         NYK        26.29963398     8     21.8  6.5   69.7/0.0/42.9        4.9  
206   Cam Reddish               NYK        26.22584133     13    21.3  8.3   44.1/33.3/86.7       7.7  
207   Gabe Vincent              MIA        26.18791971     13    25.9  9.8   40.0/31.1/83.3       9.3  
208   Davion Mitchell           SAC        26.16672615     12    18.8  6.8   45.8/35.1/66.7       6.1  
209   Troy Brown Jr.            LAL        26.10432843     10    26.6  9.5   43.5/31.7/100.0      8.9  
210   Trey Lyles                SAC        26.07513486     10    14.3  6.0   39.2/35.9/66.7       5.5  
211   Javonte Green             CHI        25.91035183     14    17.4  6.0   54.2/38.1/80.0       4.7  
212   Talen Horton-Tucker       UTA        25.54903353     15    16.6  7.8   40.0/26.7/77.3       8.0  
213   Isaiah Hartenstein        NYK        25.16830373     13    25.0  7.8   55.7/21.4/78.6       6.6  
214   Cam Thomas                BKN        25.08           8     19.0  8.6   38.2/38.5/88.0       8.2  
215   Royce O'Neale             BKN        25.02367568     13    36.3  10.6  38.1/42.9/75.0       10.1 
216   Derrick Rose              NYK        24.88039575     13    13.3  6.2   38.3/35.3/100.0      6.5  
217   Kyle Anderson             MIN        24.80839895     10    19.3  6.1   55.0/46.2/84.6       4.6  
218   Will Barton               WAS        24.75621255     14    23.8  9.1   38.5/33.9/93.3       9.2  
219   Derrick White             BOS        24.4691351      13    25.0  8.4   41.6/39.1/85.0       7.5  
220   Serge Ibaka               MIL        24.25996454     10    11.6  4.3   51.6/40.0/63.6       3.6  
221   Herbert Jones             NOP        24.22005132     9     29.9  10.4  46.5/11.1/78.8       9.5  
222   Chimezie Metu             SAC        23.98269116     8     11.6  4.8   50.0/10.0/83.3       4.3  
223   Damion Lee                PHX        23.95117812     12    18.9  6.4   40.0/43.6/85.7       5.5  
224   Marcus Smart              BOS        23.83260479     13    33.0  10.5  39.5/28.6/82.6       10.3 
225   Aaron Nesmith             IND        23.65876556     8     21.1  7.8   41.5/32.1/81.8       7.2  
226   Reggie Jackson            LAC        23.55326437     13    29.4  10.1  39.4/28.8/94.1       10.3 
227   Torrey Craig              PHX        23.53132084     12    19.2  5.8   47.3/39.4/66.7       4.8  
228   Precious Achiuwa          TOR        23.49747197     12    20.4  8.8   39.1/17.9/84.8       8.9  
229   Harrison Barnes           SAC        23.11670445     12    31.8  10.9  41.4/22.5/81.6       10.0 
230   Immanuel Quickley         NYK        23.09642016     13    21.4  8.8   36.8/28.0/81.5       9.1  
231   Draymond Green            GSW        23.07861979     12    30.4  8.2   56.6/25.0/58.8       7.0  
232   Coby White                CHI        23.07629725     7     21.9  8.1   38.2/29.4/55.6       8.4  
233   JaVale McGee              DAL        23.01170213     10    9.4   4.2   50.0/0.0/58.8        3.9  
234   Montrezl Harrell          PHI        22.96646091     12    10.9  4.3   56.3/0.0/69.6        3.5  
235   Moses Moody               GSW        22.92623929     11    16.9  6.2   40.7/35.3/80.0       5.5  
236   Naji Marshall             NOP        22.7177229      13    19.7  6.9   44.2/37.0/70.6       6.5  
237   Kevon Looney              GSW        22.65695215     13    24.5  6.5   62.3/0.0/64.3        5.2  
238   Andrew Nembhard           IND        22.6363808      11    20.1  6.6   42.2/40.0/100.0      6.0  
239   Dorian Finney-Smith       DAL        22.50328951     12    32.5  8.3   43.5/32.7/72.7       7.5  
240   Keon Johnson              POR        22.47060827     6     17.7  7.0   35.6/34.8/33.3       7.9  
241   Wenyen Gabriel            LAL        22.20943563     10    13.4  4.3   64.3/0.0/70.0        3.2  
242   Jeremy Sochan             SAS        22.19068432     12    23.8  7.2   49.4/20.0/57.1       6.7  
243   Jake LaRavia              MEM        22.07779992     11    18.7  5.5   44.7/41.9/100.0      4.5  
244   Monte Morris              WAS        21.90835202     14    27.6  8.7   41.6/33.3/71.4       8.7  
245   Joe Harris                BKN        21.89715453     11    26.1  7.6   40.0/33.3/40.0       7.5  
246   Duncan Robinson           MIA        21.80648262     13    17.4  6.5   34.5/30.6/87.5       6.7  
247   Steven Adams              MEM        21.61538066     13    27.1  6.8   61.5/0.0/31.0        6.0  
248   Austin Reaves             LAL        21.5647393      12    26.4  7.9   46.0/31.3/90.0       6.4  
249   John Konchar              MEM        21.55949121     13    25.8  6.8   44.2/39.6/50.0       6.0  
250   Derrick Jones Jr.         CHI        21.49995326     12    14.4  5.8   44.4/27.3/83.9       4.9  
251   Jalen Duren               DET        21.41148611     11    21.3  6.5   55.4/0.0/38.5        6.1  
252   Justin Holiday            ATL        21.29365385     13    19.4  6.2   38.8/33.9/0.0        6.2  
253   MarJon Beauchamp          MIL        21.1227641      9     16.3  6.1   37.5/27.3/57.1       6.6  
254   Matt Ryan                 LAL        21.00481783     9     12.8  4.9   34.1/41.4/80.0       4.8  
255   Darius Bazley             OKC        20.86110788     11    16.7  6.0   42.2/38.9/45.5       6.3  
256   Isaiah Livers             DET        20.77550178     12    18.9  5.8   37.3/38.3/72.7       5.3  
257   Anthony Gill              WAS        20.5421342      13    13.3  3.8   56.8/22.2/100.0      3.0  
258   Evan Fournier             NYK        20.40974759     13    20.0  6.9   34.4/33.3/81.8       7.3  
259   Jabari Smith Jr.          HOU        20.40645173     12    29.7  10.3  31.5/28.6/84.6       11.8 
260   Goga Bitadze              IND        20.36885387     8     13.1  4.5   51.9/14.3/50.0       4.1  
261   Devonte' Graham           NOP        20.21115311     13    16.4  4.9   37.7/40.5/70.0       4.4  
262   Caleb Martin              MIA        20.05320268     12    28.4  8.1   42.6/32.1/72.7       8.2  
263   Chris Paul                PHX        19.89913004     10    30.2  9.5   36.8/27.3/88.2       9.1  
264   Theo Maledon              CHA        19.89888645     13    13.3  4.1   50.0/33.3/87.5       3.3  
265   Chuma Okeke               ORL        19.67367848     13    20.1  5.8   41.4/35.0/76.5       5.0  
266   Kenrich Williams          OKC        19.4439455      12    20.6  5.8   48.4/28.6/33.3       5.5  
267   Garrison Mathews          HOU        19.30943323     12    12.5  4.2   34.1/35.0/100.0      3.7  
268   Deni Avdija               WAS        18.57021652     14    22.5  6.9   38.6/30.6/77.3       7.0  
269   Hamidou Diallo            DET        18.46212829     14    13.8  5.6   39.2/12.5/66.7       6.2  
270   Justise Winslow           POR        18.15495399     11    26.7  7.9   39.3/25.0/66.7       8.8  
271   P.J. Tucker               PHI        18.12360803     14    28.4  4.9   57.4/45.8/75.0       3.5  
272   David Roddy               MEM        17.96131916     14    17.9  5.7   37.3/25.0/70.0       6.2  
273   Aaron Holiday             ATL        17.53941726     13    19.1  5.1   44.6/50.0/88.9       4.6  
274   Aaron Wiggins             OKC        17.44082212     10    21.4  6.0   41.2/35.0/78.6       5.7  
275   Josh Hart                 POR        17.37175568     13    36.3  8.8   41.2/30.4/68.3       8.8  
276   Usman Garuba              HOU        17.2933908      11    15.0  3.7   55.2/80.0/45.5       3.1  
277   Jalen Johnson             ATL        17.13374739     13    14.0  4.2   44.9/17.6/66.7       4.2  
278   Christian Braun           DEN        17.06372733     12    15.7  4.0   47.5/37.5/66.7       3.6  
279   Shake Milton              PHI        17.03049063     10    12.4  3.9   45.9/14.3/66.7       4.0  
280   Kendrick Nunn             LAL        16.95630645     10    13.8  5.2   32.8/25.0/66.7       6.5  
281   James Bouknight           CHA        16.85308358     14    19.0  6.3   34.0/23.1/62.5       7.4  
282   Cory Joseph               DET        16.11464059     12    12.4  3.5   39.4/38.9/81.8       3.2  
283   Daishen Nix               HOU        15.86179835     11    13.8  3.5   38.2/45.5/75.0       3.3  
284   JaMychal Green            GSW        15.84550866     10    17.1  4.6   43.2/23.5/80.0       4.6  
285   Jordan Nwora              MIL        15.23147297     12    17.9  5.8   29.5/29.7/100.0      7.0  
286   Rudy Gay                  UTA        14.97703121     12    15.7  4.5   36.2/26.5/50.0       5.1  
287   Danuel House Jr.          PHI        14.95339164     12    16.8  3.9   42.9/33.3/71.4       3.4  
288   Thaddeus Young            TOR        14.56638258     11    12.7  3.4   46.9/12.5/75.0       3.2  
